0, 255, 247, 236
0.01, 254, 246, 233
0.02, 254, 244, 230
0.03, 254, 243, 228
0.04, 254, 242, 224
0.05, 254, 241, 222
0.06, 254, 239, 219
0.07, 254, 239, 216
0.08, 254, 237, 213
0.09, 254, 236, 210
0.1, 254, 235, 207
0.11, 254, 233, 204
0.12, 254, 232, 202
0.13, 253, 231, 198
0.14, 253, 230, 195
0.15, 253, 228, 191
0.16, 253, 226, 189
0.17, 253, 225, 185
0.18, 253, 223, 181
0.19, 253, 221, 178
0.2, 253, 220, 174
0.21, 253, 218, 172
0.22, 253, 216, 168
0.23, 253, 215, 165
0.24, 253, 213, 161
0.25, 253, 211, 157
0.26, 253, 210, 156
0.27, 253, 207, 153
0.28, 253, 206, 152
0.29, 253, 203, 149
0.3, 253, 202, 148
0.31, 253, 200, 145
0.32, 253, 198, 143
0.33, 253, 196, 141
0.34, 253, 193, 139
0.35, 253, 192, 137
0.36, 253, 189, 134
0.37, 253, 188, 133
0.38, 252, 185, 130
0.39, 252, 182, 127
0.4, 252, 177, 123
0.41, 252, 174, 120
0.42, 252, 170, 116
0.43, 252, 166, 112
0.44, 252, 163, 109
0.45, 252, 159, 105
0.46, 252, 156, 103
0.47, 252, 151, 99
0.48, 252, 148, 96
0.49, 252, 144, 92
0.5, 251, 140, 88
0.51, 250, 137, 87
0.52, 249, 134, 86
0.53, 248, 131, 85
0.54, 247, 127, 83
0.55, 246, 125, 82
0.56, 245, 121, 80
0.57, 244, 119, 79
0.58, 243, 115, 78
0.59, 242, 111, 76
0.6, 241, 109, 75
0.61, 240, 105, 73
0.62, 239, 102, 72
0.63, 237, 98, 69
0.64, 236, 94, 67
0.65, 234, 89, 63
0.66, 232, 86, 60
0.67, 230, 81, 57
0.68, 227, 76, 53
0.69, 226, 73, 50
0.7, 224, 68, 46
0.71, 222, 65, 44
0.72, 220, 60, 40
0.73, 218, 56, 37
0.74, 216, 51, 33
0.75, 214, 46, 30
0.76, 211, 43, 28
0.77, 208, 39, 25
0.78, 206, 36, 23
0.79, 202, 31, 20
0.8, 200, 28, 188
0.81, 197, 24, 15
0.82, 194, 21, 13
0.83, 191, 16, 10
0.84, 188, 12, 7
0.85, 185, 9, 5
0.86, 182, 4, 3
0.87, 180, 1, 1
0.88, 175, 0, 0
0.89, 172, 0, 0
0.9, 167, 0, 0
0.91, 164, 0, 0
0.92, 159, 0, 0
0.93, 154, 0, 0
0.94, 151, 0, 0
0.95, 146, 0, 0
0.96, 143, 0, 0
0.97, 138, 0, 0
0.98, 135, 0, 0
0.99, 130, 0, 0
1, 127, 0, 0
